A;ATXI;CCU;DIOD;FPI;HZO;LIVE;NFE;PLUR;SGC;TNL;WSR
AMBC;BMO;CPRX;ES;GRVY;JRSH;MLCO;OOMA;RGEN;STKH;VFS;
AMBI;BMR;CPS;ESAB;GRWG;JRVR;MLEC;OP;RGF;STKL;VGAS;
AMBO;BMRA;CPSH;ESBA;GRYP;JSPR;MLGO;OPAD;RGLD;STKS;VGR;
AMBP;BMRC;CPSS;ESCA;GS;JTAI;MLI;OPAL;RGLS;STLA;VGZ;
AMC;BMRN;CPT;ESE;GSAT;JVA;MLKN;OPBK;RGNX;STLD;VHAI;
AMCR;BMTX;CPTN;ESEA;GSBC;JVSA;MLM;OPCH;RGP;STM;VHC;
AMCX;BMY;CQP;ESGL;GSBD;JWEL;MLNK;OPEN;RGR;STN;VHI;
AMD;BN;CR;ESGR;GSHD;JWN;MLP;OPFI;RGS;STNE;VIA;
AME;BNAI;CRAI;ESHA;GSIT;JWSM;MLR;OPGN;RGTI;STNG;VIAO;
AMED;BNED;CRBG;ESI;GSIW;JXJT;MLSS;OPHC;RH;STOK;VIAV;
AMG;BNGO;CRBP;ESLA;GSK;JXN;MLTX;OPI;RHE;STR;VICI;
AMGN;BNIX;CRBU;ESLT;GSL;JYD;MLYS;OPK;RHI;STRA;VICR;
AMH;BNL;CRC;ESNT;GSM;JYNT;MMAT;OPOF;RHP;STRC;VIEW;
AMIX;BNOX;CRCT;ESOA;GSUN;JZ;MMC;OPRA;RICK;STRL;VIGL;
AMK;BNR;CRD.A;ESP;GT;JZXN;MMI;OPRT;RIG;STRM;VINC;
AMKR;BNRE;CRD.B;ESPR;GTAC;K;MMLP;OPRX;RIGL;STRO;VINE;
AMLI;BNRE.A;CRDF;ESQ;GTBP;KA;MMM;OPT;RILY;STRR;VINO;
AMLX;BNRG;CRDL;ESRT;GTE;KACL;MMS;OPTN;RIO;STRS;VINP;
AMN;BNS;CRDO;ESS;GTEC;KAI;MMSI;OPTT;RIOT;STRT;VIOT;
AMNB;BNTC;CREG;ESSA;GTES;KALA;MMV;OPTX;RITM;STRW;VIPS;
AMP;BNTX;CRESY;ESTA;GTH;KALU;MMYT;OPXS;RIVN;STSS;VIR;
AMPE;BNZI;CREV;ESTC;GTHX;KALV;MNDO;OPY;RJF;STT;VIRC;
AMPG;BOC;CREX;ET;GTI;KAMN;MNDY;OR;RKDA;STTK;VIRI;
AMPH;BOCN;CRGO;ETAO;GTIM;KAR;MNKD;ORA;RKLB;STVN;VIRT;
AMPL;BODI;CRGX;ETD;GTLB;KARO;MNMD;ORAN;RKT;STWD;VIRX;
AMPS;BOF;CRGY;ETN;GTLS;KAVL;MNOV;ORC;RL;STX;VISL;
AMPX;BOH;CRH;ETNB;GTN;KB;MNPR;ORCL;RLAY;STXS;VIST;
AMPY;BOKF;CRI;ETON;GTN.A;KBH;MNR;ORGN;RLGT;STZ;VITL;
AMR;BOLT;CRIS;ETR;GTX;KBR;MNRO;ORGO;RLI;SU;VIV;
AMRC;BON;CRK;ETRN;GTY;KC;MNSB;ORGS;RLJ;SUGP;VIVK;
AMRK;BOOM;CRKN;ETSY;GURE;KCGI;MNSO;ORI;RLMD;SUI;VJET;
AMRN;BOOT;CRL;ETWO;GUTS;KD;MNST;ORIC;RLX;SUM;VKTX;
AMRX;BORR;CRM;EU;GV;KDP;MNTK;ORLA;RLYB;SUN;VLCN;
AMS;BOSC;CRMD;EUDA;GVA;KE;MNTN;ORLY;RM;SUP;VLD;
AMSC;BOTJ;CRML;EURN;GVH;KELYA;MNTS;ORMP;RMAX;SUPN;VLGEA;
AMSF;BOWL;CRMT;EVA;GVP;KELYB;MNTX;ORN;RMBI;SUPV;VLN;
AMST;BOWN;CRNC;EVAX;GWAV;KEN;MNY;ORRF;RMBL;SURG;VLO;
AMSWA;BOX;CRNT;EVBG;GWH;KEP;MO;OSA;RMBS;SUZ;VLRS;
AMT;BOXL;CRNX;EVBN;GWRE;KEQU;MOB;OSBC;RMCF;SVC;VLTO;
AMTB;BP;CRON;EVC;GWRS;KEX;MOBX;OSCR;RMCO;SVII;VLY;
AMTD;BPMC;CROX;EVCM;GWW;KEY;MOD;OSG;RMD;SVM;VMAR;
AMTX;BPOP;CRS;EVE;GXAI;KEYS;MODD;OSI;RMGC;SVMH;VMC;
AMWD;BPRN;CRSP;EVER;GXO;KFFB;MODG;OSIS;RMNI;SVRA;VMCA;
AMWL;BPT;CRSR;EVEX;GYRE;KFRC;MODN;OSK;RMR;SVRE;VMD;
AMX;BPTH;CRT;EVGN;GYRO;KFS;MODV;OSPN;RMTI;SVT;VMEO;
AMZN;BPTS;CRTO;EVGO;H;KFY;MOFG;OSS;RNA;SVV;VMI;
AN;BQ;CRUS;EVGR;HA;KGC;MOG.A;OST;RNAC;SWAG;VNCE;
ANAB;BR;CRVL;EVH;HAE;KGEI;MOG.B;OSUR;RNAZ;SWAV;VNDA;
ANDE;BRAC;CRVO;EVI;HAFC;KGS;MOGO;OSW;RNG;SWBI;VNET;
ANEB;BRAG;CRVS;EVLV;HAIA;KHC;MOGU;OTEC;RNGR;SWI;VNO;
ANET;BRBR;CRWD;EVO;HAIN;KIDS;MOH;OTEX;RNLX;SWIM;VNOM;
ANF;BRBS;CRWS;EVOK;HAL;KIM;MOLN;OTIS;RNR;SWIN;VNRX;
ANGH;BRC;CSAN;EVR;HALO;KIND;MOMO;OTLK;RNST;SWK;VNT;
ANGI;BRCC;CSBR;EVRG;HAO;KINS;MOND;OTLY;RNW;SWKH;VOC;
ANGO;BRDG;CSCO;EVRI;HAS;KIQ;MOR;OTRK;RNXT;SWKS;VOD;
ANIK;BREA;CSGP;EVTC;HASI;KIRK;MORF;OTTR;ROAD;SWN;VOR;
ANIP;BREZ;CSGS;EVTL;HAYN;KITT;MORN;OUST;ROCK;SWSS;VOXR;
ANIX;BRFH;CSIQ;EVTV;HAYW;KKR;MOS;OUT;ROCL;SWTX;VOXX;
ANL;BRFS;CSL;EW;HBAN;KLAC;MOTS;OVBC;ROG;SWVL;VOYA;
ANNX;BRID;CSLM;EWBC;HBB;KLG;MOV;OVID;ROIC;SWX;VPG;
ANRO;BRK.A;CSLR;EWCZ;HBCP;KLIC;MOVE;OVLY;ROIV;SXC;VRA;
ANSC;BRK.B;CSPI;EWTX;HBI;KLTR;MP;OVV;ROK;SXI;VRAR;
ANSS;BRKH;CSR;EXAI;HBIO;KLXE;MPAA;OWL;ROKU;SXT;VRAX;
ANTE;BRKL;CSSE;EXAS;HBM;KMB;MPB;OWLT;ROL;SXTC;VRCA;
ANTX;BRKR;CSTE;EXC;HBNC;KMDA;MPC;OXBR;ROMA;SXTP;VRDN;
ANVS;BRLS;CSTL;EXEL;HBT;KMI;MPLN;OXM;ROOT;SY;VRE;
ANY;BRLT;CSTM;EXFY;HCA;KMPR;MPLX;OXSQ;ROP;SYBT;VREX;
AOGO;BRN;CSTR;EXK;HCAT;KMT;MPTI;OXY;ROSS;SYBX;VRM;
AOMR;BRNS;CSV;EXLS;HCC;KMX;MPU;OZ;ROST;SYF;VRME;
AON;BRO;CSWC;EXP;HCI;KN;MPW;OZK;RPAY;SYK;VRNA;
AONC;BROG;CSWI;EXPD;HCKT;KNDI;MPWR;PAA;RPD;SYM;VRNS;
AORT;BROS;CSX;EXPE;HCM;KNF;MPX;PAAS;RPHM;SYNA;VRNT;
AOS;BRP;CTAS;EXPI;HCMA;KNOP;MQ;PAC;RPID;SYNX;VRPX;
AOSL;BRSH;CTBI;EXPO;HCP;KNSA;MRAI;PACB;RPM;SYPR;VRRM;
AOUT;BRSP;CTCX;EXR;HCSG;KNSL;MRAM;PACK;RPRX;SYRA;VRSK;
AP;BRT;CTGO;EXTO;HCTI;KNTE;MRBK;PAG;RPTX;SYRE;VRSN;
APA;BRTX;CTHR;EXTR;HCVI;KNTK;MRC;PAGP;RR;SYRS;VRT;
APAC;BRX;CTKB;EYE;HCWB;KNW;MRCC;PAGS;RRAC;SYT;VRTS;
APAM;BRY;CTLP;EYEN;HD;KNX;MRCY;PAHC;RRBI;SYTA;VRTX;
APCA;BRZE;CTLT;EYPT;HDB;KO;MRDB;PALI;RRC;SYY;VS;
APCX;BSAC;CTM;EZFL;HDSN;KOD;MREO;PALT;RRGB;T;VSAC;
APD;BSBK;CTMX;EZGO;HE;KODK;MRIN;PAM;RRR;TAC;VSAT;
APDN;BSBR;CTNT;EZPW;HEAR;KOF;MRK;PANL;RRX;TACT;VSCO;
APEI;BSET;CTO;F;HEES;KOP;MRKR;PANW;RS;TAIT;VSEC;
APG;BSFC;CTOS;FA;HEI;KOPN;MRM;PAPL;RSG;TAK;VSH;
APGE;BSGM;CTRA;FAF;HEI.A;KORE;MRNA;PAR;RSI;TAL;VSME;
APH;BSIG;CTRE;FAMI;HELE;KOS;MRNS;PARA;RSKD;TALK;VST;
API;BSM;CTRM;FANG;HEPA;KOSS;MRO;PARAA;RSLS;TALO;VSTA;
APLD;BSRR;CTRN;FANH;HEPS;KPLT;MRSN;PARR;RSSS;TANH;VSTE;
APLE;BSVN;CTS;FARM;HES;KPRX;MRT;PASG;RSVR;TAOP;VSTM;
APLM;BSX;CTSH;FARO;HESM;KPTI;MRTN;PATH;RTC;TAP;VSTO;
APLS;BSY;CTSO;FAST;HFBL;KR;MRUS;PATK;RTO;TAP.A;VSTS;
APLT;BTAI;CTV;FAT;HFFG;KRC;MRVI;PAVM;RTX;TARA;VTAK;
APM;BTBD;CTVA;FATBB;HFWA;KREF;MRVL;PAVS;RUM;TARO;VTEX;
APO;BTBT;CTXR;FATE;HG;KRG;MS;PAX;RUN;TARS;VTGN;
APOG;BTCM;CUBE;FATH;HGAS;KRKR;MSA;PAY;RUSHA;TASK;VTLE;
APP;BTCS;CUBI;FAZE;HGBL;KRMD;MSAI;PAYC;RUSHB;TAST;VTMX;
APPF;BTCT;CUE;FBIN;HGTY;KRNL;MSB;PAYO;RVLV;TATT;VTNR;
APPN;BTCY;CUK;FBIO;HGV;KRNT;MSBI;PAYS;RVMD;TAYD;VTOL;
APPS;BTDR;CULL;FBIZ;HHGC;KRNY;MSC;PAYX;RVNC;TBBB;VTR;
APRE;BTE;CULP;FBK;HHH;KRO;MSCI;PB;RVP;TBBK;VTRS;
APT;BTG;CURI;FBLG;HHS;KRON;MSDL;PBA;RVPH;TBI;VTRU;
APTO;BTI;CURV;FBMS;HI;KROS;MSEX;PBBK;RVSB;TBIO;VTS;
APTV;BTM;CUTR;FBNC;HIBB;KRP;MSFT;PBF;RVSN;TBLA;VTSI;
APVO;BTMD;CUZ;FBP;HIFS;KRRO;MSGE;PBFS;RVTY;TBLT;VTVT;
APWC;BTOG;CVAC;FBRT;HIG;KRT;MSGM;PBH;RVYL;TBMC;VTYX;
APXI;BTSG;CVBF;FBRX;HIHO;KRUS;MSGS;PBHC;RWAY;TBNK;VUZI;
APYX;BTTR;CVCO;FBYD;HII;KRYS;MSI;PBI;RWOD;TBPH;VVI;
AQB;BTU;CVCY;FC;HIMS;KSCP;MSM;PBM;RWT;TBRG;VVOS;
AQMS;BUD;CVE;FCAP;HIMX;KSPI;MSN;PBPB;RXO;TC;VVPR;
AQN;BUJA;CVEO;FCBC;HIPO;KSS;MSS;PBR;RXRX;TCBC;VVV;
AQST;BUR;CVGI;FCCO;HITI;KT;MSSA;PBR.A;RXST;TCBI;VVX;
AQU;BURL;CVGW;FCEL;HIVE;KTB;MSTR;PBT;RXT;TCBK;VWE;
AR;BURU;CVI;FCF;HIW;KTCC;MT;PBYI;RY;TCBP;VXRT;
ARAY;BUSE;CVII;FCFS;HKD;KTOS;MTA;PCAR;RYAAY;TCBS;VYGR;
ARBB;BV;CVKD;FCN;HKIT;KTRA;MTAL;PCB;RYAM;TCBX;VYNE;
ARBE;BVN;CVLG;FCNCA;HL;KTTA;MTB;PCG;RYAN;TCI;VYX;
ARBK;BVS;CVLT;FCNCO;HLF;KUKE;MTBL;PCH;RYDE;TCJH;VZ;
ARC;BW;CVLY;FCPT;HLI;KULR;MTC;PCOR;RYI;TCMD;VZIO;
ARCB;BWA;CVM;FCUV;HLIO;KURA;MTCH;PCRX;RYN;TCN;VZLA;
ARCC;BWAQ;CVNA;FCX;HLIT;KVAC;MTD;PCSA;RYTM;TCOA;W;
ARCH;BWAY;CVR;FDBC;HLLY;KVHI;MTDR;PCT;RZLT;TCOM;WAB;
ARCO;BWB;CVRX;FDMT;HLMN;KVUE;MTEK;PCTY;S;TCON;WABC;
ARCT;BWEN;CVS;FDP;HLN;KVYO;MTEM;PCVX;SA;TCPC;WAFD;
ARDX;BWFG;CVU;FDS;HLNE;KW;MTEX;PCYO;SABR;TCRT;WAFU;
ARE;BWMN;CVV;FDUS;HLP;KWE;MTG;PD;SABS;TCRX;WAL;
AREB;BWMX;CVX;FDX;HLT;KWR;MTH;PDCO;SACH;TCS;WALD;
AREC;BWXT;CW;FE;HLTH;KXIN;MTLS;PDD;SAFE;TCTM;WASH;
AREN;BX;CWAN;FEAM;HLVX;KYCH;MTN;PDEX;SAFT;TCX;WAT;
ARES;BXC;CWBC;FEBO;HLX;KYMR;MTNB;PDFS;SAGA;TD;WATT;
ARGX;BXMT;CWCO;FEDU;HLXB;KYTX;MTR;PDLB;SAGE;TDC;WAVD;
ARHS;BXP;CWD;FEIM;HMC;KZIA;MTRN;PDM;SAH;TDCX;WAVE;
ARI;BY;CWEN;FELE;HMN;KZR;MTRX;PDS;SAI;TDG;WAVS;
ARIS;BYD;CWEN.A;FEMY;HMNF;L;MTSI;PDSB;SAIA;TDOC;WB;
ARKO;BYFC;CWH;FENC;HMST;LAAC;MTTR;PEB;SAIC;TDS;WBA;
ARKR;BYND;CWK;FENG;HMY;LAB;MTUS;PEBK;SAM;TDUP;WBD;
ARL;BYNO;CWST;FERG;HNI;LABP;MTW;PEBO;SAMG;TDW;WBS;
ARLO;BYON;CWT;FET;HNNA;LAC;MTX;PECO;SAN;TDY;WBUY;
ARLP;BYRN;CX;FEXD;HNRA;LAD;MTZ;PED;SANA;TEAM;WBX;
ARM;BYSI;CXAI;FF;HNRG;LADR;MU;PEG;SAND;TECH;WCC;
ARMK;BYU;CXDO;FFBC;HNST;LAES;MUFG;PEGA;SANG;TECK;WCN;
ARMN;BZ;CXM;FFIC;HNVR;LAKE;MULN;PEGR;SANM;TEF;WD;
ARMP;BZFD;CXT;FFIE;HOFT;LAMR;MUR;PEGY;SANW;TEL;WDAY;
AROC;BZH;CXW;FFIN;HOFV;LANC;MURA;PEN;SAP;TELA;WDC;
AROW;BZUN;CYBN;FFIV;HOG;LAND;MUSA;PENN;SAR;TELL;WDFC;
ARQ;C;CYBR;FFNW;HOLI;LANV;MUX;PEP;SASR;TELO;WDH;
ARQQ;CAAP;CYCC;FFWM;HOLO;LARK;MVBF;PEPG;SATL;TENB;WDS;
ARQT;CAAS;CYCN;FG;HOLX;LASE;MVIS;PEPL;SATS;TENK;WEAV;
ARR;CABA;CYD;FGBI;HOMB;LASR;MVLA;PERF;SATX;TENX;WEC;
ARRW;CABO;CYH;FGEN;HON;LATG;MVST;PERI;SAVA;TEO;WEL;
ARRY;CAC;CYN;FGF;HONE;LAUR;MWA;PESI;SAVE;TER;WELL;
ARTL;CACC;CYRX;FGI;HOOD;LAW;MWG;PET;SB;TERN;WEN;
ARTNA;CACI;CYTH;FHB;HOOK;LAZ;MX;PETQ;SBAC;TETE;WERN;
ARTW;CACO;CYTK;FHI;HOPE;LAZR;MXC;PETS;SBCF;TEVA;WES;
ARVN;CADE;CYTO;FHLT;HOTH;LBAI;MXCT;PETV;SBET;TEX;WEST;
ARW;CADL;CZFS;FHN;HOUR;LBPH;MXL;PETZ;SBEV;TFC;WETG;
ARWR;CAE;CZNC;FHTX;HOUS;LBRDA;MYE;PEV;SBFG;TFFP;WETH;
ARYD;CAG;CZOO;FI;HOV;LBRDK;MYFW;PFBC;SBFM;TFII;WEX;
AS;CAH;CZR;FIAC;HOVR;LBRT;MYGN;PFC;SBGI;TFIN;WEYS;
ASA;CAKE;CZWI;FIBK;HOWL;LBTYA;MYMD;PFE;SBH;TFPM;WF;
ASAI;CAL;D;FICO;HP;LBTYB;MYNA;PFG;SBLK;TFSL;WFC;
ASAN;CALB;DAC;FIGS;HPCO;LBTYK;MYND;PFGC;SBOW;TFX;WFCF;
ASB;CALM;DADA;FIHL;HPE;LC;MYNZ;PFIE;SBR;TG;WFG;
ASC;CALT;DAIO;FINV;HPH;LCAA;MYO;PFIS;SBRA;TGAA;WFRD;
ASCA;CALX;DAKT;FINW;HPK;LCFY;MYPS;PFLT;SBS;TGAN;WGO;
ASCB;CAMP;DAL;FIP;HPP;LCID;MYRG;PFMT;SBSI;TGB;WGS;
ASGN;CAMT;DALN;FIS;HPQ;LCII;MYSZ;PFS;SBSW;TGI;WH;
ASH;CAN;DAN;FISI;HQI;LCNB;MYTE;PFSI;SBT;TGL;WHD;
ASIX;CANF;DAO;FITB;HQY;LCTX;NA;PFTA;SBUX;TGLS;WHF;
ASLE;CANG;DAR;FIVE;HR;LCUT;NAAS;PFX;SBXC;TGNA;WHG;
ASLN;CAPL;DARE;FIVN;HRB;LCW;NABL;PG;SCCO;TGS;WHLM;
ASM;CAPR;DASH;FIX;HRI;LDI;NAII;PGC;SCHL;TGT;WHLR;
ASMB;CAPT;DATS;FIXX;HRL;LDOS;NAK;PGEN;SCHW;TGTX;WHR;
ASML;CAR;DAVA;FIZZ;HRMY;LDTC;NAMS;PGNY;SCI;TGVC;WILC;
ASND;CARA;DAVE;FKWL;HROW;LDWY;NAOV;PGR;SCKT;TH;WIMI;
ASNS;CARE;DAWN;FL;HRT;LE;NAPA;PGRE;SCL;THAR;WINA;
ASO;CARG;DAY;FLEX;HRTG;LEA;NARI;PGRU;SCLX;THC;WING;
ASPI;CARM;DB;FLFV;HRTX;LECO;NAT;PGSS;SCM;THCH;WINT;
ASPN;CARR;DBD;FLGC;HRYU;LEDS;NATH;PGTI;SCNI;THCP;WINV;
ASPS;CARS;DBGI;FLGT;HRZN;LEE;NATL;PGY;SCOR;THFF;WIRE;
ASR;CART;DBI;FLIC;HSAI;LEG;NATR;PH;SCPH;THG;WISA;
ASRT;CARV;DBRG;FLJ;HSBC;LEGH;NAUT;PHAR;SCPX;THM;WISH;
ASRV;CASA;DBVT;FLL;HSCS;LEGN;NAVI;PHAT;SCRM;THMO;WIT;
ASST;CASH;DBX;FLNC;HSDT;LEGT;NB;PHG;SCS;THO;WIX;
ASTC;CASI;DC;FLNG;HSHP;LEJU;NBBK;PHGE;SCSC;THR;WK;
ASTE;CASS;DCBO;FLNT;HSIC;LEN;NBHC;PHI;SCTL;THRD;WKC;
ASTH;CASY;DCFC;FLO;HSII;LEN.B;NBIX;PHIN;SCVL;THRM;WKEY;
ASTI;CAT;DCGO;FLR;HSON;LESL;NBN;PHIO;SCWO;THRY;WKHS;
ASTL;CATC;DCI;FLS;HSPO;LEU;NBR;PHM;SCWX;THS;WKME;
ASTR;CATO;DCO;FLT;HST;LEV;NBSE;PHR;SCX;THTX;WKSP;
ASTS;CATX;DCOM;FLUT;HSTM;LEVI;NBST;PHUN;SCYX;TIGO;WLDN;
ASUR;CATY;DCPH;FLUX;HSY;LEXX;NBTB;PHVS;SD;TIGR;WLDS;
ASX;CAUD;DCTH;FLWS;HTBI;LFCR;NBTX;PHX;SDA;TIL;WLFC;
ASXC;CAVA;DD;FLXS;HTBK;LFLY;NBY;PHYT;SDGR;TILE;WLGS;
ASYS;CB;DDC;FLYW;HTCR;LFMD;NC;PI;SDHC;TIMB;WLK;
ATAI;CBAN;DDD;FLYX;HTGC;LFST;NCDL;PII;SDIG;TIPT;WLKP;
ATAT;CBAT;DDI;FMAO;HTH;LFT;NCL;PIII;SDOT;TIRX;WLY;
ATCH;CBAY;DDL;FMBH;HTHT;LFUS;NCLH;PIK;SDPI;TISI;WLYB;
ATEC;CBD;DDOG;FMC;HTLD;LFVN;NCMI;PINC;SDRL;TITN;WM;
ATEK;CBFV;DDS;FMNB;HTLF;LFWD;NCNA;PINE;SE;TIVC;WMB;
ATEN;CBL;DE;FMS;HTOO;LGCB;NCNC;PINS;SEAT;TIXT;WMG;
ATER;CBNK;DEA;FMX;HTZ;LGCL;NCNO;PIPR;SEB;TJX;WMK;
ATEX;CBOE;DEC;FN;HUBB;LGF.A;NCPL;PIRS;SECO;TK;WMPN;
ATGE;CBRE;DECA;FNA;HUBC;LGF.B;NCRA;PIXY;SEDA;TKC;WMS;
ATGL;CBRG;DECK;FNB;HUBG;LGHL;NCSM;PJT;SEDG;TKLF;WMT;
ATHA;CBRL;DEI;FNCB;HUBS;LGIH;NCTY;PK;SEE;TKNO;WNC;
ATHE;CBSH;DELL;FNCH;HUDA;LGL;NDAQ;PKBK;SEED;TKO;WNEB;
ATHM;CBT;DENN;FND;HUDI;LGMK;NDLS;PKE;SEEL;TKR;WNNR;
ATI;CBU;DEO;FNF;HUGE;LGND;NDRA;PKG;SEER;TLF;WNS;
ATIF;CBUS;DERM;FNGR;HUIZ;LGO;NDSN;PKOH;SEIC;TLGY;WNW;
ATIP;CBZ;DESP;FNKO;HUM;LGVC;NE;PKX;SELF;TLIS;WOLF;
ATKR;CC;DFH;FNLC;HUMA;LGVN;NECB;PL;SELX;TLK;WOOF;
ATLC;CCAP;DFIN;FNV;HUN;LH;NEE;PLAB;SEM;TLPH;WOR;
ATLO;CCB;DFLI;FNVT;HURC;LHX;NEGG;PLAG;SEMR;TLRY;WORX;
ATLX;CCBG;DFS;FNWB;HURN;LI;NEM;PLAO;SENEA;TLS;WOW;
ATMC;CCCC;DG;FNWD;HUSA;LIBY;NEN;PLAY;SENEB;TLSA;WPC;
ATMU;CCCS;DGHI;FOA;HUT;LICN;NEO;PLBC;SENS;TLSI;WPM;
ATMV;CCEL;DGICA;FOLD;HUYA;LICY;NEOG;PLBY;SEPA;TLYS;WPP;
ATNF;CCEP;DGICB;FONR;HVT;LIDR;NEON;PLCE;SERA;TM;WPRT;
ATNI;CCG;DGII;FOR;HVT.A;LIFE;NEOV;PLD;SES;TMC;WRAP;
ATNM;CCI;DGLY;FORA;HWBK;LIFW;NEP;PLG;SEVN;TMCI;WRB;
ATO;CCJ;DGX;FORD;HWC;LII;NEPH;PLL;SEZL;TMDX;WRBY;
ATOM;CCK;DH;FORL;HWH;LILA;NERV;PLMI;SF;TME;WRK;
ATOS;CCL;DHAC;FORM;HWKN;LILAK;NET;PLMJ;SFBC;TMHC;WRLD;
ATPC;CCLD;DHAI;FORR;HWM;LILM;NETD;PLMR;SFBS;TMO;WRN;
ATR;CCLP;DHC;FORTY;HXL;LIN;NEU;PLNT;SFIX;TMP;WRNT;
ATRA;CCM;DHI;FOSL;HY;LINC;NEUE;PLOW;SFL;TMQ;WS;
ATRC;CCNE;DHIL;FOUR;HYAC;LIND;NEWP;PLPC;SFM;TMTC;WSBC;
ATRI;CCO;DHR;FOX;HYFM;LINK;NEWT;PLRX;SFNC;TMUS;WSBF;
ATRO;CCOI;DHT;FOXA;HYLN;LIPO;NEXA;PLSE;SFST;TNC;WSC;
ATS;CCRD;DHX;FOXF;HYMC;LIQT;NEXI;PLTK;SFWL;TNDM;WSFS;
ATSG;CCRN;DIBS;FOXO;HYPR;LITB;NEXN;PLTN;SG;TNET;WSM;
ATUS;CCS;DIN;FPAY;HYW;LITE;NEXT;PLTR;SGA;TNGX;WSO;
ATXG;CCSI;DINO;FPH;HYZN;LITM;NFBK;PLUG;SGBX;TNK;WSO.B;
AAV;AOI;AEM;AC;AGI;ASTL;AQN;ATD;AP.UN;ALA;AIF;ARX
ATZ;ACO.X;ATH;ATS;BTO;BDGI;BLDP;BMO;BNS;ABX;BHC;BTE
BCE;BIR;BB;BEI.UN;BBD.B;BLX;BYD;BAM;BBU.UN;BN;BIP.UN;BEP.UN
DOO;CAE;CCO;GOOS;CAR.UN;CM;CNR;CNQ;CP;CTC.A;CU;CWB
CFP;CPX;CS;CJT;CCL.B;CLS;CVE;CG;GIB.A;CSH.UN;CHP.UN;CIX
CCA;CIGI;CSU;CPG;CRR.UN;CRT.UN;DFY;DML;DSG;DOL;DIR.UN;DPM
ELD;EFN;EMA;EMP.A;ENB;EFR;ERF;ENGH;EQB;EQX;ERO;EIF
FFH;FIL;FTT;FCR.UN;FR;FM;FSV;FTS;FVI;FNV;FRU;WN
GFL;GEI;GIL;GSY;GRT.UN;GWO;HR.UN;HWX;HBM;H;IAG;IMG
IGM;IMO;INE;IFC;IFP;IPCO;IIP.UN;IVN;JWEL;KNT;KEL;KEY
KMP.UN;KXS;K;LIF;LB;LSPD;LNR;LAAC;LAC;L;LUG;LUN
MAG;MG;MFC;MFI;MEG;MX;MRU;MTY;MTL;NGD;NXE;NWC
NPI;NWH.UN;NG;NTR;NVEI;NVA;OGC;ONEX;OTEX;OLA;OR;OSK
PAAS;POU;PXT;PKI;PSI;PPL;PET;PEY;POW;PSK;PD;PBH
PMZ.UN;PRMW;QBR.B;QSR;RCH;REI.UN;RCI.B;RY;RUS;SSL;SAP;SEA
SES;MATR;SHOP;SIA;SIL;ZZZ;SRU.UN;ATRL;TOY;SII;SSRM;STN
STLC;SJ;SVI;SLF;SU;SPB;TVE;TRP;TECK.B;T;TFII;TRI
TLRY;X;TPZ;TXG;TIH;TD;TOU;TA;TCL.A;TCN;TSU;VET
WCN;WDO;WFG;WTE;WPM;WCP;WPK;WSP;ADS.DE;ADYEN.AS;AD.AS;AI.PA
AIR.PA;ALV.DE;ABI.BR;ASML.AS;CS.PA;BAS.DE;BAYN.DE;BBVA.MC;SAN.MC;BMW.DE;BNP.PA;BN.PA
DB1.DE;DHL.DE;DTE.DE;ENEL.MI;ENI.MI;EL.PA;RACE.MI;FLTR.L;RMS.PA;IBE.MC;ITX.MC;IFX.DE
INGA.AS;ISP.MI;KER.PA;OR.PA;MC.PA;MBG.DE;MUV2.DE;NOKIA.HE;NDA-FI.HE;RI.PA;PRX.AS;SAF.PA
SGO.PA;SAN.PA;SAP.DE;SU.PA;SIE.DE;STLAM.MI;TTE.PA;DG.PA;UCG.MI;VOW.DE;AEM;AQN
BMO;BNS;BCE;BAM;BN;CAE;CCO;CM;CNQ;CP;CVE;DOL
ENB;FM;FSV;FTS;FNV;GIL;H;IMO;K;L;MG;MFC
NA;NTR;OTEX;PPL;QSR;RY;SAP;SHOP;SLF;SU;TRP;T
TRI;TD;WCN;WPM
